Date,ACN,ADBE,AMD,AKAM,APH,ADI,ANSS,AAPL,AMAT,ANET,ADSK,AVGO,CDNS,CDW,CSCO,CTSH,GLW,CRWD,ENPH,EPAM,FFIV,FICO,FSLR,FTNT,IT,GEN,GDDY,HPE,HPQ,IBM,INTC,INTU,JBL,JNPR,KEYS,KLAC,LRCX,MCHP,MU,MSFT,MPWR,MSI,NTAP,NVDA,NXPI,ON,ORCL,PANW,PTC,QRVO,QCOM,ROP,CRM,STX,NOW,SWKS,SMCI,SNPS,TEL,TDY,TER,TXN,TRMB,TYL,VRSN,WDC,ZBRA
6/27/14,18.30337079,117.3454545,77.6,35.93209877,23.14393939,22.64757709,29.06415094,12.82942281,26.22535211,#N/A,#NAME?,26.34016393,38.5,28.58333333,15.54054054,23.86792453,17.14426877,#N/A,#N/A,24.19117647,29.44522685,23.17650509,17.23209877,91.79166667,35.79381443,15.58267717,#N/A,#N/A,11.64084507,13.17522245,13.77419355,25.16611296,25.38783219,28.27041264,#N/A,19.75428571,19.25441696,26.38674033,9.219032258,15.35205993,51.69333333,16.48717949,18.91891892,21.98356808,30.41356855,22.41463415,17.58158996,#N/A,24.02758621,175.4985755,21.2046646,23.9265233,#N/A,12.25619281,#N/A,22.11976048,17.1980198,24.75,17.34985423,19.028,29.40201838,23.11764706,42.17582418,69.15702479,14.7295082,21.06441125,22.90333333
6/30/14,18.30337079,117.3454545,41.1,36.3452381,23.49756098,22.64757709,27.77289377,14.85561083,26.22535211,#N/A,#NAME?,26.34016393,38.53333333,27.96491228,15.54054054,21.8836689,24.53610552,#N/A,#N/A,31.93430657,29.24013434,26.2721991,19.10215054,112.9438202,34.73891626,16.57553957,#N/A,#N/A,11.64084507,11.46204821,15.31188119,25.16611296,25.38783219,20.76317793,#N/A,20.93371758,18.19293478,26.52717391,9.219032258,15.85551331,55,10.80582524,18.91891892,21.98356808,30.77974684,18.18,17.58158996,#N/A,25.95945946,55.18867925,19.03924026,24.21393035,#N/A,12.59292035,#N/A,24.11518325,21.78448276,24.75,17.20555556,18.16666667,22.77784284,22.97596154,35.24242424,66.57664234,12.77748691,13.90739382,27.55442177
7/1/14,18.30337079,117.3454545,41.1,36.3452381,23.49756098,22.64757709,27.77289377,14.85561083,26.22535211,#N/A,#NAME?,26.34016393,38.53333333,27.96491228,15.54054054,21.8836689,24.53610552,#N/A,#N/A,31.93430657,29.24013434,26.2721991,19.10215054,112.9438202,34.73891626,16.57553957,#N/A,#N/A,11.64084507,11.46204821,15.31188119,25.16611296,25.38783219,20.76317793,#N/A,20.93371758,18.19293478,26.52717391,9.219032258,15.85551331,55,10.80582524,18.91891892,21.98356808,30.77974684,18.18,17.58158996,#N/A,25.95945946,55.18867925,19.03924026,24.21393035,#N/A,12.59292035,#N/A,24.11518325,21.78448276,24.75,17.20555556,18.16666667,22.77784284,22.97596154,35.24242424,66.57664234,12.77748691,13.90739382,27.55442177
7/2/14,18.30337079,117.3454545,41.1,36.3452381,23.49756098,22.64757709,27.77289377,14.85561083,26.22535211,#N/A,#NAME?,26.34016393,38.53333333,27.96491228,15.54054054,21.8836689,24.53610552,#N/A,#N/A,31.93430657,29.24013434,26.2721991,19.10215054,112.9438202,34.73891626,16.57553957,#N/A,#N/A,11.64084507,11.46204821,15.31188119,25.16611296,25.38783219,20.76317793,#N/A,20.93371758,18.19293478,26.52717391,9.219032258,15.85551331,55,10.80582524,18.91891892,21.98356808,30.77974684,18.18,17.58158996,#N/A,25.95945946,55.18867925,19.03924026,24.21393035,#N/A,12.59292035,#N/A,24.11518325,21.78448276,24.75,17.20555556,18.16666667,22.77784284,22.97596154,35.24242424,66.57664234,12.77748691,13.90739382,27.55442177
7/3/14,18.30337079,117.3454545,41.1,36.3452381,23.49756098,22.64757709,27.77289377,14.85561083,26.22535211,#N/A,#NAME?,26.34016393,38.53333333,27.96491228,15.54054054,21.8836689,24.53610552,#N/A,#N/A,31.93430657,29.24013434,26.2721991,19.10215054,112.9438202,34.73891626,16.57553957,#N/A,#N/A,11.64084507,11.46204821,15.31188119,25.16611296,25.38783219,20.76317793,#N/A,20.93371758,18.19293478,26.52717391,9.219032258,15.85551331,55,10.80582524,18.91891892,21.98356808,30.77974684,18.18,17.58158996,#N/A,25.95945946,55.18867925,19.03924026,24.21393035,#N/A,12.59292035,#N/A,24.11518325,21.78448276,24.75,17.20555556,18.16666667,22.77784284,22.97596154,35.24242424,66.57664234,12.77748691,13.90739382,27.55442177
7/7/14,18.30337079,117.3454545,41.1,36.3452381,23.49756098,22.64757709,27.77289377,14.85561083,26.22535211,#N/A,#NAME?,26.34016393,38.53333333,27.96491228,15.54054054,21.8836689,24.53610552,#N/A,#N/A,31.93430657,29.24013434,26.2721991,19.10215054,112.9438202,34.73891626,16.57553957,#N/A,#N/A,11.64084507,11.46204821,15.31188119,25.16611296,25.38783219,20.76317793,#N/A,20.93371758,18.19293478,26.52717391,9.219032258,15.85551331,55,10.80582524,18.91891892,21.98356808,30.77974684,18.18,17.58158996,#N/A,25.95945946,55.18867925,19.03924026,24.21393035,#N/A,12.59292035,#N/A,24.11518325,21.78448276,24.75,17.20555556,18.16666667,22.77784284,22.97596154,35.24242424,66.57664234,12.77748691,13.90739382,27.55442177
7/8/14,18.30337079,117.3454545,41.1,36.3452381,23.49756098,22.64757709,27.77289377,14.85561083,26.22535211,#N/A,#NAME?,26.34016393,38.53333333,27.96491228,15.54054054,21.8836689,24.53610552,#N/A,#N/A,31.93430657,29.24013434,26.2721991,19.10215054,112.9438202,34.73891626,16.57553957,#N/A,#N/A,11.64084507,11.46204821,15.31188119,25.16611296,25.38783219,20.76317793,#N/A,20.93371758,18.19293478,26.52717391,9.219032258,15.85551331,55,10.80582524,18.91891892,21.98356808,30.77974684,18.18,17.58158996,#N/A,25.95945946,55.18867925,19.03924026,24.21393035,#N/A,12.59292035,#N/A,24.11518325,21.78448276,24.75,17.20555556,18.16666667,22.77784284,22.97596154,35.24242424,66.57664234,12.77748691,13.90739382,27.55442177
7/9/14,18.30337079,117.3454545,41.1,36.3452381,23.49756098,22.64757709,27.77289377,14.85561083,26.22535211,#N/A,#NAME?,26.34016393,38.53333333,27.96491228,15.54054054,21.8836689,24.53610552,#N/A,#N/A,31.93430657,29.24013434,26.2721991,19.10215054,112.9438202,34.73891626,16.57553957,#N/A,#N/A,11.64084507,11.46204821,15.31188119,25.16611296,25.38783219,20.76317793,#N/A,20.93371758,18.19293478,26.52717391,9.219032258,15.85551331,55,10.80582524,18.91891892,21.98356808,30.77974684,18.18,17.58158996,#N/A,25.95945946,55.18867925,19.03924026,24.21393035,#N/A,12.59292035,#N/A,24.11518325,21.78448276,24.75,17.20555556,18.16666667,22.77784284,22.97596154,35.24242424,66.57664234,12.77748691,13.90739382,27.55442177
7/10/14,18.30337079,117.3454545,41.1,36.3452381,23.49756098,22.64757709,27.77289377,14.85561083,26.22535211,#N/A,#NAME?,26.34016393,38.53333333,27.96491228,15.54054054,21.8836689,24.53610552,#N/A,#N/A,31.93430657,29.24013434,26.2721991,19.10215054,112.9438202,34.73891626,16.57553957,#N/A,#N/A,11.64084507,11.46204821,15.31188119,25.16611296,25.38783219,20.76317793,#N/A,20.93371758,18.19293478,26.52717391,9.219032258,15.85551331,55,10.80582524,18.91891892,21.98356808,30.77974684,18.18,17.58158996,#N/A,25.95945946,55.18867925,19.03924026,24.21393035,#N/A,12.59292035,#N/A,24.11518325,21.78448276,24.75,17.20555556,18.16666667,22.77784284,22.97596154,35.24242424,66.57664234,12.77748691,13.90739382,27.55442177
7/11/14,18.30337079,117.3454545,41.1,36.3452381,23.49756098,22.64757709,27.77289377,14.85561083,26.22535211,#N/A,#NAME?,26.34016393,38.53333333,27.96491228,15.54054054,21.8836689,24.53610552,#N/A,#N/A,31.93430657,29.24013434,26.2721991,19.10215054,112.9438202,34.73891626,16.57553957,#N/A,#N/A,11.64084507,11.46204821,15.31188119,25.16611296,25.38783219,20.76317793,#N/A,20.93371758,18.19293478,26.52717391,9.219032258,15.85551331,55,10.80582524,18.91891892,21.98356808,30.77974684,18.18,17.58158996,#N/A,25.95945946,55.18867925,19.03924026,24.21393035,#N/A,12.59292035,#N/A,24.11518325,21.78448276,24.75,17.20555556,18.16666667,22.77784284,22.97596154,35.24242424,66.57664234,12.77748691,13.90739382,27.55442177
